2025-01-28 15:54:14.827 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 15:54:14.829 | INFO     | __main__:<module>:68 - Project root: C:\Users\nolan\Documents\Streamin Data NWMU\buzzline-03-moss
2025-01-28 15:54:14.829 | INFO     | __main__:<module>:72 - Data folder: C:\Users\nolan\Documents\Streamin Data NWMU\buzzline-03-moss\data
2025-01-28 15:54:14.829 | INFO     | __main__:<module>:76 - Data file: C:\Users\nolan\Documents\Streamin Data NWMU\buzzline-03-moss\data\buzz.json
2025-01-28 15:54:14.829 | INFO     | __main__:main:136 - START producer.
2025-01-28 15:54:14.830 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-28 15:54:14.834 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-28 15:54:14.834 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 15:54:15.220 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'DeIdkWObT3-pG_6uu-ysfA', 'controller_id': 0}
2025-01-28 15:54:15.221 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-01-28 15:54:15.221 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-01-28 15:54:15.222 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 15:54:15.222 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-28 15:54:15.340 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-28 15:54:15.341 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 15:54:15.701 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-01-28 15:54:15.808 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
